beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
307	2021-03-07 08:58:00.088207	28	318	79	3966	16	9	130
371	2021-03-07 09:13:02.683059	28	306	78	3966	34	7	171
366	2021-03-07 09:28:04.571221	28	336	98	3966	34	7	131
372	2021-03-07 09:43:06.537031	41	365	102	3966	34	7	128
372	2021-03-07 09:58:08.366955	38	367	101	3966	29	7	128
380	2021-03-07 10:13:11.016345	41	472	107	4062	29	7	128
387	2021-03-07 10:28:12.850603	39	503	102	4062	29	7	128
340	2021-03-07 10:43:14.670788	39	651	102	3511	29	7	128
340	2021-03-07 10:58:16.410075	30	1344	102	3322	29	14	131
284	2021-03-07 11:13:19.127677	30	1640	81	3322	29	14	131
284	2021-03-07 11:28:21.029772	30	1169	81	2836	29	8	131
303	2021-03-07 11:43:22.809858	49	807	81	2848	29	8	104
321	2021-03-07 11:58:24.691905	59	459	81	3130	29	5	104
333	2021-03-07 12:13:26.970137	44	449	80	3130	29	25	104
368	2021-03-07 12:28:28.708111	44	449	80	3130	43	14	104
346	2021-03-07 12:43:30.553020	44	432	75	3691	43	14	104
367	2021-03-07 12:58:32.378079	44	397	126	3666	24	14	185
346	2021-03-07 13:13:34.822604	44	397	113	3666	24	14	185
346	2021-03-07 13:28:36.981676	44	324	93	3666	31	5	142
406	2021-03-07 13:43:39.020576	53	324	93	3379	17	9	142
359	2021-03-07 13:58:40.780306	53	317	91	3379	17	8	109
359	2021-03-07 14:13:48.947067	44	328	91	3379	17	5	141
359	2021-03-07 14:28:50.766056	44	413	65	3379	17	9	167
359	2021-03-07 14:43:52.537697	44	400	70	3379	17	16	180
435	2021-03-07 14:58:54.186169	36	400	70	3379	22	17	173
309	2021-03-07 15:13:56.611649	36	400	70	2596	28	10	115
369	2021-03-07 15:28:58.618072	36	330	70	2596	28	4	91
307	2021-03-07 15:44:00.334118	36	330	70	2596	20	7	91
318	2021-03-07 15:59:02.061658	26	202	70	2581	22	7	120
259	2021-03-07 16:14:04.398192	31	233	81	2581	13	7	102
300	2021-03-07 16:29:06.203691	27	233	81	2808	20	7	102
277	2021-03-07 16:44:07.938962	27	211	81	2803	21	7	102
302	2021-03-07 16:59:09.709866	42	211	81	2814	21	7	94
277	2021-03-07 17:14:12.237587	43	180	81	2885	21	7	82
289	2021-03-07 17:29:14.134391	36	180	81	3527	17	6	82
289	2021-03-07 17:44:15.770481	31	230	81	3093	17	6	98
348	2021-03-07 17:59:17.697496	40	217	95	3093	22	16	98
387	2021-03-07 18:14:20.338145	59	227	98	3093	22	16	98
349	2021-03-07 18:29:22.684154	59	227	101	3093	22	16	98
336	2021-03-07 18:44:24.770492	34	204	101	4018	22	16	98
321	2021-03-07 18:59:26.520488	34	238	101	4018	22	16	98
321	2021-03-07 19:14:28.943753	30	238	101	4018	19	9	120
321	2021-03-07 19:29:30.724312	30	298	101	3899	23	17	146
321	2021-03-07 19:44:32.386678	30	298	101	4096	31	8	121
321	2021-03-07 19:59:34.160212	30	298	101	4093	31	11	121
321	2021-03-07 20:14:36.647098	78	298	90	7163	48	11	120
321	2021-03-07 20:29:38.879607	94	263	113	7163	42	11	120
425	2021-03-07 20:44:41.041322	70	289	84	7090	42	11	149
425	2021-03-07 20:59:42.892120	70	387	123	7090	52	11	173
425	2021-03-07 21:15:15.030848	70	300	208	8159	37	11	151
368	2021-03-07 21:30:16.880484	72	300	128	7006	29	11	99
359	2021-03-07 21:45:18.886721	72	234	128	6995	49	11	99
359	2021-03-07 22:00:20.671609	59	271	99	11367	21	11	99
359	2021-03-07 22:15:22.998319	59	300	96	8548	30	11	99
537	2021-03-07 22:30:24.723222	64	259	78	6596	30	11	114
355	2021-03-07 22:45:26.540110	42	259	89	6596	26	11	97
308	2021-03-07 23:00:28.302889	42	301	79	2961	18	11	76
313	2021-03-07 23:15:30.564590	42	287	58	2961	29	9	76
313	2021-03-07 23:30:32.290794	39	281	70	2961	14	4	50
313	2021-03-07 23:45:34.150791	47	227	50	2180	21	4	50
313	2021-03-08 00:00:35.867042	40	240	46	1665	11	4	50
252	2021-03-08 00:15:38.113410	28	240	60	1680	18	8	78
239	2021-03-08 00:30:40.024774	28	203	55	1680	18	8	78
239	2021-03-08 00:45:41.688752	28	228	47	1714	18	10	54
239	2021-03-08 01:00:43.398594	13	230	44	1730	18	7	57
223	2021-03-08 01:15:45.809789	13	230	44	1730	11	7	78
237	2021-03-08 01:30:47.377050	23	230	41	1862	13	9	78
221	2021-03-08 01:45:49.061942	16	230	43	1759	9	9	78
221	2021-03-08 02:00:50.761243	10	192	43	1545	9	9	27
209	2021-03-08 02:15:53.461435	10	192	46	1396	9	9	43
209	2021-03-08 02:30:55.491406	24	194	42	1473	12	9	43
234	2021-03-08 02:45:57.588048	24	229	40	1534	12	16	43
234	2021-03-08 03:00:59.579555	24	204	54	1324	9	6	43
199	2021-03-08 03:16:02.271297	24	204	51	1455	9	4	44
203	2021-03-08 03:31:04.275452	24	147	58	1420	6	4	59
232	2021-03-08 03:46:06.318399	24	153	46	1623	6	4	59
232	2021-03-08 04:01:08.256273	23	177	42	1660	6	4	50
232	2021-03-08 04:16:11.001368	23	206	42	1660	6	7	50
287	2021-03-08 04:31:12.971019	29	258	64	1714	6	7	50
305	2021-03-08 04:46:14.799739	16	258	64	1696	24	7	40
305	2021-03-08 05:01:16.654342	21	258	64	1757	21	7	86
355	2021-03-08 05:16:19.406566	21	258	64	2003	22	12	57
397	2021-03-08 05:31:21.280844	21	258	64	2003	22	11	78
361	2021-03-08 05:46:23.311278	22	258	74	2003	22	12	83
451	2021-03-08 06:01:25.216395	22	757	74	2139	22	12	82
427	2021-03-08 06:16:27.611928	33	757	74	2405	37	12	80
402	2021-03-08 06:31:29.478297	33	552	68	2408	40	7	80
425	2021-03-08 06:46:31.258864	33	638	59	2463	40	7	80
416	2021-03-08 07:01:33.216817	33	640	65	2463	33	11	80
